Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C18, C20, C23, C3, C41, C49, C61, C62, C68, C7, C79",0805,12,22uF,
"C10, C11, C12, C13, C14, C15, C16, C17, C21, C22, C24, C25, C26, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C4, C40, C42, C43, C44, C45, C47, C48, C50, C52, C53, C54, C55, C57, C58, C59, C6, C60, C65, C66, C67, C69, C70, C75, C76, C77, C78",0402,52,1uF,
"C19, C2, C8, C9",0603,4,1uF,
"C27, C46, C5, C63, C64, C71, C72, C73, C74",0402,9,10nF,
"C51, C56",0402,2,10pF,
"D1, D3, D8",D_SOD-323,3,1N5819WS,
"D2, D4",0603,2,LIGHT BLUE,
D5,0603,1,RED,
"FID1, FID2, FID3, FID4",Fiducial_0.5mm_Mask1.5mm,4,Fiducial,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_Pad_Via,4,M3,
J1,USB_B_OST_USB-B1HSxx_Horizontal,1,USB_B,
J10,Yu-MicroSD-TF-01A,1,Micro_SD_Card_Det2,
J2,USB_A_CONNFLY_DS1095-WNR0,1,USB_A,
"J4, J7, J8",PinHeader_2x04_P2.54mm_Vertical,3,Conn_02x04_Odd_Even,
J5,PinHeader_2x10_P2.54mm_Vertical,1,Conn_02x10_Odd_Even,
J6,Hirose_FH12-40S-0.5SH_1x40-1MP_P0.50mm_Horizontal,1,Conn_01x40_MountingPin,
J9,RJ45_Amphenol_RJHSE538X,1,RJ45_LED_Shielded,
"L1, L2, L3, L5",1008,4,2.2uH,
"R1, R30",0402,2,10,
"R10, R8",0603,2,8.2k,
"R11, R17, R31, R33, R34, R35, R36, R41, R5",0402,9,10k,
R12,0402,1,0,
"R13, R14, R15, R7, R9",0603,5,10k,
R16,0603,1,2.2k,
"R18, R39, R40",0402,3,100,
"R19, R20, R22, R23, R24",0402,5,1k,
"R2, R4",0402,2,240,
"R21, R28, R3, R6",0603,4,5.1k,
R25,0402,1,3k,
"R26, R37, R38",0402,3,5.1k,
R27,0603,1,100k,
R29,0603,1,100,
R32,0402,1,2.49k,
SW1,SW_Push_1P1T_XKB_TS-1187A,1,SW_SPST,
SYM1,ESD-Logo_8.9x8mm_SilkScreen,1,SYM_ESD_Small,
"TP2, TP3, TP4",TestPoint_Pad_D1.0mm,3,T,
TR1,Transformer_Ethernet_Bourns_PT61017PEL,1,PT61017PEL,
U1,BGA-96_9.0x13.0mm_Layout2x3x16_P0.8mm,1,NT5CB256M16ER-FL,
U14,MICRON_EMMC_153,1,EMMC04G-S100-B08U,
"U2, U4, U6",TSOT-23-5,3,SY8089A,
U5,ST_LFBGA-448_18x18mm_Layout22x22_P0.8mm,1,STM32MP157FAAx,
U7,QFN-32-1EP_5x5mm_P0.5mm_EP3.65x3.65mm,1,RTL8201F,
U8,SOT-23-5,1,LP5907MFX-3.3,
U9,SOT-23-5,1,MT3540,
X1,Crystal_SMD_EuroQuartz_MT-4Pin_3.2x2.5mm,1,25MHz,
Y1,Crystal_SMD_EuroQuartz_MT-4Pin_3.2x2.5mm,1,X322525MOB4SI,
